Gene	Transcript	Num_HC_uORFs	Num_HC_oORFs	Possible_uAUG_creating_SNVs	Possible_stop_removing_SNVs	HC_uAUG_creating_SNVs	HC_stop_removing_SNVs	LOEUF	ClinGen_haplo_score	ClinVar_HC_pathogenic_LoFs	Gene_class	Gene_likelihood
DDC8	ENST00000322630	1	0	20	8	3	8	1.7600e+00	NA	0	5	Low
C9orf152	ENST00000400613	1	0	52	8	7	0	1.0510e+00	NA	0	6	Moderate
RPS11	ENST00000270625	0	0	9	0	4	0	3.2800e-01	NA	0	7	High
ELMO2	ENST00000290246	1	0	28	5	8	0	5.5600e-01	NA	0	8	High
CREB3L1	ENST00000529193	1	0	44	15	14	0	2.9200e-01	NA	0	7	High
PNMA1	ENST00000316836	1	0	78	13	8	0	8.3600e-01	NA	0	6	Moderate
MMP2	ENST00000219070	1	0	57	8	18	8	3.6500e-01	NA	0	7	High
TMEM216	ENST00000515837	2	0	108	21	7	0	1.3700e+00	NA	2	7	High
C10orf90	ENST00000284694	1	0	11	16	0	8	1.2080e+00	NA	0	6	Moderate
ZHX3	ENST00000309060	6	0	67	52	9	16	4.9800e-01	NA	0	6	Moderate
ERCC5	ENST00000355739	8	0	197	84	2	0	8.0500e-01	30	0	8	High
AP002884.3	ENST00000532612	0	0	0	0	0	0	1.4200e+00	NA	0	0	Unknown
GPR98	ENST00000405460	0	0	12	0	11	0	5.1600e-01	NA	0	6	Moderate
RXFP3	ENST00000330120	2	0	42	16	0	8	1.8690e+00	NA	0	5	Low
APBB2	ENST00000508593	3	0	93	29	2	8	4.4000e-01	NA	0	6	Moderate
KLHL13	ENST00000539496	0	0	0	0	0	0	6.1900e-01	NA	0	0	Unknown
KRTAP10-8	ENST00000334662	0	0	0	0	0	0	1.6780e+00	NA	0	1	Unknown
PDCL3	ENST00000264254	0	0	49	8	2	8	1.3500e+00	NA	0	6	Moderate
AEN	ENST00000332810	1	0	21	8	5	8	1.8780e+00	NA	0	5	Low
FRG2	ENST00000378763	0	0	0	0	0	0	1.7810e+00	NA	0	1	Unknown
DECR1	ENST00000220764	0	0	5	0	2	0	1.6760e+00	NA	0	5	Low
SALL1	ENST00000251020	0	0	4	0	1	0	1.9600e-01	3	0	8	High
CADM4	ENST00000222374	0	0	2	0	0	0	1.6900e-01	NA	0	2	Low
RPS18	ENST00000439602	0	1	13	0	5	0	2.6100e-01	NA	0	3	Low
SLC10A7	ENST00000335472	0	0	28	5	1	5	1.0000e+00	NA	0	6	Moderate
